name,category_list,market,status,country_code,city,Cluster,SubCluster,SubCluster_Name,funding_total_usd,funding_rounds,early_stage_funding,venture,debt_financing,private_equity,stage_level,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio
Lellan,|Design|, Design ,,USA,Redwood City,0,0,Early-stage multi-round,840000.0,5.0,840000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lema21,|E-Commerce|, E-Commerce ,operating,BRA,São Paulo,0,1,Small / early venture-backed,4000000.0,2.0,0.0,4000000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lemon,|Shopping|Mobile|, Shopping ,acquired,USA,Palo Alto,0,1,Small / early venture-backed,8000000.0,1.0,0.0,8000000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Lemon Curve,|Fashion|Lingerie|E-Commerce|, E-Commerce ,operating,FRA,Paris,0,1,Small / early venture-backed,1226200.0,1.0,0.0,1226200.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LemonCrate,|E-Commerce|, E-Commerce ,operating,USA,Millbrae,0,2,Small seed-stage,45000.0,1.0,45000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeMond Fitness,|Sports|, Sports ,operating,USA,Poway,0,1,Small / early venture-backed,2724998.0,1.0,0.0,2724998.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LemonQuest,|Entertainment|Portals|Mobile|Games|, Portals ,closed,ESP,Madrid,0,1,Small / early venture-backed,2550000.0,1.0,0.0,2550000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Lemonwise,|Software|SaaS|E-Commerce|Curated Web|, Curated Web ,operating,USA,Cambridge,0,2,Small seed-stage,15000.0,1.0,15000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lenda,|Finance|Real Estate|, Finance ,operating,USA,San Francisco,0,0,Early-stage multi-round,1996000.0,4.0,1996000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LendAmend,|SaaS|Finance Technology|Finance|, Finance Technology ,operating,USA,Los Angeles,0,1,Small / early venture-backed,1000000.0,2.0,0.0,1000000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Lender Sentinel,|Software|, Software ,operating,USA,Plymouth Meeting,0,1,Small / early venture-backed,36500.0,1.0,0.0,36500.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lendinero,|Finance|, Finance ,operating,USA,Miami,0,2,Small seed-stage,30000.0,1.0,30000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Lending Works,|Peer-to-Peer|Financial Services|Finance|, Finance ,operating,GBR,London,0,2,Small seed-stage,5303380.0,1.0,5303380.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
