name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
iAdvize,|Telecommunications|Advertising|, Telecommunications ,1349401.0,operating,FRA,Nantes,2.0,2010-01-01,2010-03-01,2012-10-16,1304600.0,0.0,0.0,0,44801.0,0.033200657180482304,0.9667993428195177,0.0,0.0,14.115172089314575,1.0986122886681098,10.710008060263757,14.081407804862312,0.0,0.0,1
Iahorro Business Solutions,|Internet|Finance|, Internet ,724400.0,operating,ESP,Madrid,1.0,,2011-06-05,2011-06-05,724400.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,13.493100385443231,0.6931471805599453,0.0,13.493100385443231,0.0,0.0,1
iAM Bulbash,|Android|iOS|Mobile Games|, iOS ,120000.0,operating,,,1.0,,2014-06-30,2014-06-30,0.0,0.0,0.0,0,120000.0,1.0,0.0,0.0,0.0,11.695255355062795,0.6931471805599453,11.695255355062795,0.0,0.0,0.0,2
iAmplify,|E-Commerce|, E-Commerce ,6000000.0,operating,USA,New York,1.0,2005-01-01,2007-05-04,2007-05-04,6000000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,15.607270193858982,0.6931471805599453,0.0,15.607270193858982,0.0,0.0,1
IAT-Auto,|Manufacturing|, Manufacturing ,20000000.0,operating,CHN,Beijing,1.0,2001-01-01,2009-10-01,2009-10-01,20000000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,16.811242881518265,0.6931471805599453,0.0,16.811242881518265,0.0,0.0,1
ibabybox,|Social Media|, Social Media ,25000.0,closed,USA,Palo Alto,1.0,2013-01-01,2013-03-01,2013-03-01,0.0,0.0,0.0,0,25000.0,1.0,0.0,0.0,0.0,10.12667110305036,0.6931471805599453,10.12667110305036,0.0,0.0,0.0,2
ibeatyou,|Video|Games|, Video ,1000000.0,acquired,USA,Santa Monica,1.0,,2008-03-24,2008-03-24,0.0,0.0,0.0,0,1000000.0,1.0,0.0,0.0,0.0,13.815511557963774,0.6931471805599453,13.815511557963774,0.0,0.0,0.0,2
IBeiFeng,|Training|Education|, Training ,1000000.0,operating,CHN,Shanghai,1.0,2008-01-01,2014-02-01,2014-02-01,1000000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,13.815511557963774,0.6931471805599453,0.0,13.815511557963774,0.0,0.0,1
Ibelem,|Software|, Software ,1630000.0,operating,FRA,Le Chesnay,1.0,2001-01-01,2007-02-28,2007-02-28,1630000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,14.30409118627969,0.6931471805599453,0.0,14.30409118627969,0.0,0.0,1
Ibercheck,|Analytics|, Analytics ,348813.0,operating,ESP,Madrid,2.0,2010-06-01,2012-01-01,2013-04-09,0.0,0.0,0.0,0,348813.0,1.0,0.0,0.0,0.0,12.762294107826149,1.0986122886681098,12.762294107826149,0.0,0.0,0.0,0
Ibetor,|Aerospace|Drones|Hardware + Software|, Aerospace ,6160000.0,operating,ESP,Las Rozas,1.0,2009-01-01,2010-02-10,2010-02-10,6160000.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,15.633587497847351,0.6931471805599453,0.0,15.633587497847351,0.0,0.0,1
iBid2Save,|Internet Marketing|Auctions|Advertising|Lead Generation|E-Commerce|, E-Commerce ,550000.0,operating,USA,Charlotte,2.0,2011-01-03,2011-04-15,2011-12-01,0.0,0.0,0.0,0,550000.0,1.0,0.0,0.0,0.0,13.217675375388819,1.0986122886681098,13.217675375388819,0.0,0.0,0.0,0
Ibidex,|Digital Media|Games|, Games ,42183.0,operating,GBR,London,1.0,2014-08-01,2014-08-01,2014-08-01,0.0,0.0,0.0,0,42183.0,1.0,0.0,0.0,0.0,10.649796281210305,0.6931471805599453,10.649796281210305,0.0,0.0,0.0,2
